reason,lemmatized_content
Membership,this is a great game but you need membership so you can enjoy the game i cant evolve go into the dark tower and have thing
No specific reason,f this game suck
No specific reason,prodigy suck
No specific reason,prodigy keep kicking me out you need to upgrade this app
Membership,please can you stop membership because whitout that we cant do anythimg
No specific reason,it suck
Technical,it doe not let me login it keep saying it something wrong
Membership,i want free membership now
No specific reason,this game suck i got two reward but i got nothing and it say i got it and there are always random people in my house even though it is locked
No specific reason,new monster and pet
Membership,i dont recommend this game if you dont like buying the good stuff like everything cost most of the time there is only one item free please unlock some stuffit is not fare to have people for most of the game
Gameplay,worst thing to happen i remember this little cute blue dude and you replace him with a ugly deformed bear i played this game when i wa and you do this to it geez worst copy
No specific reason,it a game duh
No specific reason,i dont like it
Gameplay,hourslevel cause it doesnt save your progressi
No specific reason,
No specific reason,it is hordol
Membership,gosh it used to be so good but now the monster are fricking cute and ugly and also the catching and evolving like what the heck i wish i could give this a star but i cant it used to be such a good game in the olden day now everythings about membership and membership
No specific reason,your game suck
No specific reason,bad just bad
Membership,the game is good but now with the new update you cant even evolve your pet everything you require a member like bro just take the member out it annoying because whenever you go to a shop mostly everything you require a member and there like only thing that you dont need a member like fix your game and then it always giving you add of becoming a member and also put the thing to sign in with google because i had my school account with level and now i had to restart
Technical,i tried logging in kicking me to google i log in and i have to play on the google version if you used an email to log in it impossible to log in with a username
No specific reason,bring back epic i love them especially eclipse javiank
No specific reason,they ruined the game it used to be my favorite but now it poop star
No specific reason,very bad
Membership,i hate it is the worst game ever because you know why it always member member membership membership in your face i hate it i hate i hate i still like to play it because btw i hate math brb jk i jumped i hate that i still love it barbie halloween buy homies yeeeeeeeeeeeeeeeeeeeeeeet sup brah byyeee
No specific reason,fun
Membership,i hate the game it so expensive and my mom cant afford it prodigy want just to make money thats it and it not fair all i want is just a member ship thats all this game should be gone forever and ever
No specific reason,i havent played it in a while and it wouldnt let me it said no internet sorry i use the website for now
Membership,stoopid membership the mebership need to leave the game want a cat nope want a hat nope all i can get is a dang hamster oh almost forgot if you want to envelop one of your crew member the you got to be a dang member
No specific reason,it sukes
Technical,for some reason it wont put my user can you fix it my user is tikpay
No specific reason,u dont care about this game might a well give i star i wish i could give this this star
No specific reason,boring
No specific reason,crash it keep crashing before you get to do anything
Technical,cant open what happen
No specific reason,just poor you need member to get everything it not fair this game is a pay to win math game and copied so many game like pokemon and wizard they dont even respond to zendesk message i loved this game but they change everything from pet art to the new map this game is very poor dont play it in warning you edit you cant even trade nothing is rare there is hacker in the game also they take away everything like almost every year so yeah im warning you it wa a fun game but now bad
No specific reason,slow
No specific reason,i hate this game i am only and this is on all the school computer and i am not getting this on my phone at all because i am not gonna uninstall text now and tubi
Membership,this game is fun but im giving it a one star mainly due to the fact that the day after i brought membership which wa monthly the very next day it wa gone and the day after that it is day after i got it and still dont hve membership prodigy if ur reading this give me back my membership plz
No specific reason,this app is awesome i just dont like that the monster see you
Membership,cancelation is b say to go to membership there no way to cancel just a money trap with these b canned response did you even read what i said i already did that
Membership,my year old played this a lot decided to get the year subscription and suddenly she had to deal with an error page which she never had problem with before without the payment of around after contacting them via emal they informed u we would hear back in business day which ha turned into week now when we try to click on their contact list it no longer is available why would there be a major tech problem after a payment but not while playing free we feel scammed
No specific reason,because i cant tame a pet i have to let some of my pet go done
No specific reason,it a math game and it suck
No specific reason,i hate this gae i tried to get in it then it would get back out again dont tell me to play ur stupid game again
Technical,i keep getting logged off
No specific reason,when i payed for membership i wa not informed that it automatically take your money afterwards i have tried to contact support but it never work all i ask for wa a refund because im on a low budget and the membership is canceled
Technical,every time i go play a different game for a long time they always want me to sign up again i lose all my item and this is not funny at all i have to keep restarting and always at level one when i come back im deleting this game
No specific reason,it bad but im chill
Gameplay,graphic not nice improve
No specific reason,i hate it
No specific reason,awesome
No specific reason,dis gang is stew pid it wont not let meh chat give me da remembership please make da booby and booty bigga if not i will sue u
Gameplay,i hate this game because it is boring and i really want a new math app but i cant get it and it teach stuff that i dont know and it say im learning even though i dont have the slightest idea what the problem is
Technical,one star because wen i went off the game the game told me to log back on
No specific reason,you are trash
No specific reason,it is garbage all the answer are wrong and rigged so that no matter what you put in it will be wrong so my ratting is star no fun and apparently you cant post without putting a star on the ratting but it is still star
No specific reason,suck
No specific reason,i hate prodigy because i buy a sand dollar on a trampoline of summer festival now they can gone i want to make my home but they are gone
No specific reason,i like the prodigy game is the best game ever
Technical,horrible it glitchy
Technical,bad dang game i kept getting the question wrong fix this game so i can put it star
Technical,i doe not save the game
No specific reason,i hate thas game so mach
No specific reason,it suck
No specific reason,suck
No specific reason,bad very very bad i dont like this app
No specific reason,make me become a member without paying
No specific reason,horrable
No specific reason,no member plzfix it so annoying
No specific reason,i logged
Gameplay,so booooooring i could fall asleep god what the hell
No specific reason,worst
No specific reason,ugh i hate this game
Technical,could not access with out going to the web with a link
Gameplay,it and ok game but it give me sometimes my grade math but some time not sometimes it like grade but other time it like grade it crash all da time too u need a member ship to do almost everything and if there is a kid in your class who ha it butt u dont they brag all the time i friended my lil bro wolfe and we play together but half the time it show both of u on his device but only show me on mine
No specific reason,dumb
No specific reason,bad lag
No specific reason,i am a young girl and this game that involves math make my life better before i used to hate math but ever since i got this math game it changed my life and helped me do good in school
No specific reason,i hate your app it suck i hate it
No specific reason,it suck all you you do is flex your math skill
Technical,it doesnt work when i tried to set up an account it told me that id have to leave the app i select leave and nothing happens after i made an account outside the app i came back to sign in i doe the same thing again this is for google account btw
Technical,why is my prodigy kicking me off
Gameplay,really boring
No specific reason,hmmm im so mad it didnt open
Technical,i couldnt even go on the app it just whent to a tan screen and i waited for hour and still just a tan screen i dont recamand this app i wish i could rate it zero star
Technical,it wouldnt let me log in while on the game dont freakin download it is sooooooo restarted
Technical,wont even load my school age kid love this app but we sign them in separate logins and cannot get past the prodigy loading the load bar doesnt even move this is on both chrome and the app very frustrating
Technical,it bad when it a another same awnser it incorrect and i hope this game get taken down it trash so no one download it
No specific reason,hu
Gameplay,boring
Technical,it ceaps on glitching when i do my pasword and it work but it wont load the game so i cant play the game please fix it
Technical,prodigy would not even let me type in an answer to math problem sometimes it did but then the tab would close on it own and make me start over the same question plus prodigy say it a free to play game but to even be good at the game you will have to pay hundred of dollar also prodigy totally copied pokemon the name are similar and it the same idea do not play this game
No specific reason,me and my friend play this at school and all i have to say is this math game is ultra it is so popular in my class
No specific reason,i hate it
No specific reason,not the best
Technical,would bring to web page so no point in getting it and cant login with my google account
No specific reason,trash
No specific reason,math
No specific reason,trash
No specific reason,not nice
No specific reason,i hate the new prodiy so bad i dont have a class code and it kept saying opps i hate it delete game and who ever made it go delete your self off the earth
No specific reason,game suck it suck it suck pick the right answer get it wrong th grade you gt like th grade question hate this game it suck so bad
No specific reason,it wa okay
Membership,it keep charging ust but we dont want anymore
No specific reason,i love it too it the best i love it because im on level
No specific reason,i kick me out when i start a battle
No specific reason,suck so much
No specific reason,another math game
Gameplay,it not so fun i hate wizard the control is not good dont play this game
No specific reason,they changed it so much it wa better before
No specific reason,noooooooooo not today not tomrow not ever
No specific reason,just great for school bad ofline
